,Tweet_Times,Tweet_Content,Tweet_Number_of_Likes,Tweet_Number_of_Retweets
266,2022-03-24,Let's roll... discovery in this lawsuit would hurt him far more than help him. By making all the shady shit he did matter of public record and availbe for the cases against him.  https://t.co/lDtC7M7gUx,29,6
267,2022-03-24,"The fight for LGBTQ Rights has always been a struggle against violence. A fight to live safely in our own homes. A fight merely to exist. 

LGBTQ+ Ukrainians are fighting for so much more. They're now fighting a dictatorship that targets + disappears them. https://t.co/j7M9Bdwf87",23,9
268,2022-03-24,"🔴Carpet bombed by Russian forces, harrowing stories emerge of a stench of corpses and constant burning amid ‘utter destruction’ https://t.co/IZuEFpgXB9",8,6
269,2022-03-24,"@cpondskater @susan_llewellyn Rishi's pop in law, owner and founder of Infosys, of which rishi's wife owns £500m in shares, oh and still trading openly with Russia, her assets should be frozen in my opinion.",171,44
270,2022-03-24,"Once again: Ukrainian activist who fought against Russia's corrupt influence poses danger to Russian government even after her death in years. 

Keep this in mind if you think Russian aggression could end quickly.

End of thread, not the end of the war.",267,33
271,2022-03-24,@Sharman6642 @JustenCharters Neumann is facing 14 criminal counts for his involvement on 1/6: https://t.co/GV1sLFR8ax,51,23
272,2022-03-24,"@PMaurerICRC @ICRC So neutrality is when you shake hands with a man, who began a war? Who doesn't respect any of Geneva Convention rules? Who gives orders to kill civilians? When you spend money donated to stop war, on 
a new office IN RUSSIA? Where people from Mariupol are FORCEFULLY DEPORTED?",141,7
273,2022-03-25,Ukraine says Moscow is forcibly taking civilians to Russia (from @AP) https://t.co/GEZh78diSg,40,13
274,2022-03-25,"#BREAKING | Ukraine claims Russia attacking Slavutych checkpoint near Chernobyl nuclear power plant

Tune in here - https://t.co/HAjI0YXkOB https://t.co/TKQUbAPcgE",0,0
275,2022-03-25,@OccupyDemocrats @OleVetUSAF That is the way to treat disinformation. Fast and hard. GQP still stuck on the Russia playlist. https://t.co/ZxiNPnT8K3,10,5
276,2022-03-24,"The purpose of our investigation was to see if Mr. Neumann had any possible connections to Russia and, if possible, gather more information about his actions and motives on January 6, 2021.",263,23
277,2022-03-24,"Ukraine not alone in fight against Russia, says Boris Johnson https://t.co/mUAiokhS9f",748,120
278,2022-03-25,"Ukraine asking for donations in bitcoin.

Russia planning on selling energy resources in bitcoin.

#bitcoin is for enemies and everyone.",7,3
279,2022-03-24,"Armed Forces of Ukraine defeated a column of invaders in Chernihiv region

""Today, somewhere in the forests of the Chernihiv region, at least 2 Tigers, a tank were 'lost'. Part of the column began to scatter in a panic, but they won't get far,"" OK Sever said.

#Ukraine #Russia https://t.co/E6j13fDIen",4,3
280,2022-03-24,"This is terryfying and reassuring at the same time..
#LongLiveUkraine
#StandWithUkraine️
https://t.co/8oI1FFoFV3",73,46
281,2022-03-25,"How quick will the #Russian #Oligarchs &amp; the Military Top Officials stand up to #Putin and remove Him when #NATO and the #USA decide to threaten #Russia with Nuclear Weapons??!! These People do not want to die for a War they want nothing to do with!! 
#Ukraine 
#PutinWarCriminal",5,5
282,2022-03-25,"Russia fails to 'undermine' UN's unified efforts in Ukraine, ambassador says. It’s been 2 humiliating days for Russia @ UN. On Thursday vote on humanitarian draft resolution on Ukraine in GA sponsored by South Africa failed on matter of procedure 
https://t.co/oLEhqkcPBV #FoxNews",87,21
283,2022-03-24,"Are we ever alone? Or are we carrying with us all the burdens of yesterday?
Krishnamurti 
#quote #quotesoftheday #Russia #Ukraine #lifestyle #India https://t.co/H5u2TA4uYY",6,6
284,2022-03-24,Minister Wu believes the free world's response to #Russia's invasion of #Ukraine is giving pause to those in #China contemplating military action against #Taiwan🇹🇼. Get his take on the war &amp; the ways #Canada🇨🇦 can #StandWithTaiwan via @globeandmail's @RobertFife &amp; @StevenChase.🔽 https://t.co/djsvlBoC2P,155,42
285,2022-03-25,"@NBCNews @DemocraticDaisy Dear @Nestle , Mark Schneider,
I’m calling bullshit. Russia is starving Ukrainian civilians including children in Mariupol and you are worried about feeding Russians? BS, it’s just profit for more you, not a humanitarian effort. BS, BS, BS.",4,2
286,2022-03-24,"Congressional Dems did themselves no favors by not impeaching Trump for obstruction in The Mueller Report, not referring Caputo &amp; Stone to DoJ for indictment for lying about their collusion w/ Russian, and more.

https://t.co/gVVVKqoKqQ",126,20
287,2022-03-25,#RamzanKadyrov announced the Chechen special forces have taken control of Mariupol. The mayor of Mariupol took off. Azov thugs terrorized their citizen shelling on them killing in large numbers &amp; blowing up their homes. Russia distributes aid food/water &amp; other necessities.,21,14
288,2022-03-25,"A cyberattack on a satellite's ground infrastructure downed parts of Ukraine's defenses, but its victims extend well beyond the scope of Russia's war. (Via @WIRED)
https://t.co/wW6k3ALM5u",4,3
289,2022-03-24,"Thank you to @SydneyJordanMN for her bill for state divestment and termination of contracts with Russia. ""A green vote tonight is a vote for joining an ever-growing number of democracies that are standing up to Putin."" I am a proud co-author of this important bill. #mnleg https://t.co/QioIDTO9qO",23,7
290,2022-03-24,Taiwan predicts China will think twice about military invasion after watching Ukraine https://t.co/Je4GJd8IBv,50,12
291,2022-03-24,Drain Russia's Brains https://t.co/unoG0797zm,95,24
292,2022-03-25,"Retarded!
Who are you ""protecting""?
Nato - territory, the member states?
Russia - country, your sovereignty?
Of whom? The other one?
You're destroying everyone, everything within minutes!
I don't care about people!
It's the nature, wildlife, the animals!
@Russia
@NATO
#NoWar
#WW3 https://t.co/TibEswPouP",1,1
293,2022-03-24,Imagine Obama or Biden or the Clintons filing something this wacky and the media just reporting on it like it’s perfectly rational https://t.co/9ioP1FjXAl,389,103
294,2022-03-24,"#Russia invaders of #Ukraine are torturing and killing abducted local leader in #Kherson oblast, with terror methods sharply escalating
#Viktor_Maruniak #FreeMaruniak #LetMyPeopleGo #PutinWarCrimes #StandWithUkraine 
https://t.co/GXo7ekjvTD https://t.co/cMuauxEpaZ",598,338
295,2022-03-24,Contribute to the denazification effort abroad. Make content exposing imperialist media lies against Russia.,26,5
296,2022-03-24,"⭕️🇺🇦#Ukraine: 🇷🇺#Russia|n helicopter  have strike 🇷🇺Russian positions near Kharkiv. 
👉The lack of Command &amp; Control leads to disastrous mistakes. https://t.co/P4AHZGkXA6",133,38
297,2022-03-25,"Putin’s invasion of Ukraine was the final straw for many Russians, who see no future at home as long their president remains obsessed with the past https://t.co/Y03C58iOsS",9,2
298,2022-03-24,"Former prime minister Kevin Rudd has backed US calls for Russia to be kicked out of the G20:
https://t.co/bmO587Wscr",73,13
299,2022-03-24,"Thank you to every member of the Minnesota House who voted to stand with the people of Ukraine and divest our state from Russia and Belarus. This is a strong, unanimous show of support for democracy across the world. #StandWithUkraineMN #mnleg https://t.co/J3WpWDTQtj",9,2
300,2022-03-25,'We're f***ed!' @JonStewart BLASTS the media for their 'bulls**t' with the Russia collusion investigation and Mueller https://t.co/mlvYPKuIC0,15,8
301,2022-03-24,"🇺🇦 “Russia’s President rolled the dice with his Ukraine invasion. Domestic support, currently at high levels, is about to wane and his options will soon narrow.” @KirkseniyaSF https://t.co/0QsbTmlQkU",84,28
302,2022-03-25,"President Biden's U.N. envoy told reporters after the resolution was adopted that ""Russia has tried and failed — in the U.N. Security Council, and in partnership with others here in the General Assembly — to undermine Ukraine at every turn."" https://t.co/TvgC2yr6qc",58,14
303,2022-03-24,"Near #Mykolaiv, south #Ukraine, Ukrainian forces reportedly recaptured areas shown in blue in the past week, and are now on a counter offensive towards #Kherson, which is under #Russia|n occupation currently: https://t.co/tVqI9R9M5f",197,47
304,2022-03-25,"BREAKING NOW
@seanhannity expressed his opposition to a peace deal between Ukraine and Russia",1,2
305,2022-03-24,"@POTUS Can you imagine if Trump was successful in stealing the election? He would've giftwrapped Ukraine for Putin and destroyed the last of NATO.

He probably would send aid to Russia instead. So glad we have a real President in WH &amp; not that stooge.

Thank you Mr. President.",46,13
306,2022-03-24,"#Russia v #Ukraine: World Taps #Canada for Potash and #Uranium as War Roils Markets🇨🇦⚛️⛏️ with buyers scrambling to fill supply gaps.😟🛒 Canada is a main source of uranium &amp; government confirms ""We have been approached""🙏🤠🐂 #Nuclear #SupplyShock 🌊🏄https://t.co/qZ7Fk9Mqoy",104,20
307,2022-03-24,From the fantastic (⁦@StanfordCDDRL⁩   alum!)  ⁦@ngumenyuk⁩ —Opinion | Why Ukrainians aren’t ready to accept Russian ultimatums - The Washington Post https://t.co/j2E0KsvNAQ,326,101
308,2022-03-24,"Canada plans to increase oil and gas exports, as nations seek to wean themselves off Russian energy supplies ⤵️ https://t.co/FmD6GMM37Z",99,32
309,2022-03-24,"@bblock29 No wonder the investigation is dragging. It involves all 3 branches of government that Ginny Thomas was actively trying to undermine on behalf of #DFG , the #GOP, and Russia. #GOPTraitors",17,7
310,2022-03-25,"🔴As Ukraine's resistance against Russia grows, Kyiv's A&amp;E units remain as busy as ever - with staff often as traumatised as patients https://t.co/akBf1zmYEo",21,7
311,2022-03-24,"@WSJ A dangerous hint, cause 
when POTUS said ""the U.S. will respond if Russia uses chemical weapons"", it means CIA is going to 'create evidence' again. Long live Colin Power!",26,4
312,2022-03-24,"It’s time to turn up the heat on #Putin and unleash the full power of American economic might: sanction #Russia’s entire financial sector, its energy exports, and other key industries. Thanks @thehill for publishing my latest, with @M_S_Billingslea.
https://t.co/93GWekRgQi",23,9
313,2022-03-25,"@JamesCleverly You Tories have been rattled today. The EU invited Canada, Japan and the USA to join their meeting on Ukraine leaving the UK out. So much for world leader Boris. btw stop harassing the free press. This isn't Russia or is it?",29,8
314,2022-03-24,"All of the credit for the bill to divest Minnesota’s government from Russia and Belarus goes to the MN Ukrainian American Advocacy Committee and @JCRCMINNDAK. Ethan and Luda, you are incredible advocates for human rights and thank you for your work! #StandWithUkraineMN #mnleg https://t.co/7y3Gv89eK0",42,4
315,2022-03-24,"Look very closely at the cover of my novel #TheZangezurCampaign.  

The TB2 drone below is chosen because of it distinctive shape.  Objective: put a wedge between Iran and Russia by creating distrust.
 
It's all here:  https://t.co/QZGvSAftrl https://t.co/x4MPL89o4Z",6,5
316,2022-03-24,"Head office of @METRO_News in Düsseldorf today. Companies continuing to work in Russia are financing Putin’s war crimes in Ukraine and destroying their own reputations. #BoycottRussia to help stop@the atrocious war against the 🇺🇦ppl 
#StandWithUkraine https://t.co/XIlivyMCDB",83,26
317,2022-03-24,President Biden says U.S. will respond if Russia uses chemical weapons in Ukraine. @kwelkernbc reports. https://t.co/4iAUcXtXUK,18,10
318,2022-03-24,"@KoriSchake Putin put his FSB on house arrest so does it look like Putin is winning a War or Can. Over 35,000 Russian mean have already fled Russia and the Russian people are also fleeing Russia with airport’s packed. Watch foreign news for the fact’s.",25,3
319,2022-03-25,"#bbcqt On December 5, 1994 the leaders of Ukraine, Russia, Britain and the United States signed a memorandum to provide Ukraine with security assurances in connection with giving uo thier nuclear weapons.

The UK &amp; USA need to stand by their word.

#UkraineRussiaWar https://t.co/mCA0uSFdJR",4,3
320,2022-03-24,"Sadly, the skin color of war victims seems to be the biggest indicator of solidarity. While #500DaysOfTigrayGenocide is hushed up, the west is showing solidarity with #Ukraine. #SupportHR6600 @RepJoeWilson @RepMariaSalazar @Trevornoah @Blklivesmatter https://t.co/gQkfGas0Cr",7,9
321,2022-03-24,"@GBNEWS Cheek accusing U.K. - 2018, the countries with the most slaves were: India 8 million, China 3.86 million, Pakistan 3.19 million, North Korea 2.64 million, Nigeria 1.39 million, Indonesia 1.22 million, Democratic Republic of Congo (1 million, Russia 794,000 &amp; Philippines 784,000",40,12
322,2022-03-25,"“Kyiv is being bombed and we realized this is probably the only such real chance — the last chance — to win back Belarus, protect Ukraine and actually make this world a better place.”
Belarusian dissidents are joining a volunteer unit to defend Ukraine.
https://t.co/6p2gJsfZNR",20,5
323,2022-03-24,"NEW: Ukraine has begun a counteroffensive that is altering the shape of the battle with Russia.
The question is no longer how far Russian forces have advanced, but whether the Ukrainians are now pushing them back.
By @AndrewKramerNYT on the frontlines
https://t.co/NyCUvKjHKZ",167,62
324,2022-03-25,"Donald Trump has filed a lawsuit against his former presidential opponent Hillary Clinton.

 https://t.co/DxP0y21JbH",49,11
325,2022-03-25,"No Russia? No China? No problem. Americans Alexa Knierim and Brandon Frazier win USA’s first pairs skating world title since 1979. Meanwhile, the other US pair withdraws due to injury in the middle of their performance. My @usatodaysports column: https://t.co/Vk8JO6T4Sw",74,8
326,2022-03-25,How very unsurprising  https://t.co/l8LHFxK2XQ,250,41
327,2022-03-25,"NATO is deploying more battle groups to four countries that are on the Black Sea or bordering Ukraine, including Slovakia, Hungary, Romania and Bulgaria.
https://t.co/eAmu491q2X",46,7
328,2022-03-24,"Polish domestic politics are one matter, but that should in no way color the EU's need to read and understand this superb prescription by foreign minister Zbigniew Rau for what the West must do, regarding Ukraine, Russia and Europe itself.

https://t.co/ozwwaJAsyu via @politico",89,25
329,2022-03-24,"President Biden says it’s time for the G20 to remove Russia and warns the U.S. will respond if Russia attacks Ukraine with chemical weapons @NicRobertsonCNN and @kaitlancollins report 
@PamelaBrownCNN 
https://t.co/CaaJIkXLm1",231,35
330,2022-03-25,Ukraine tells Russia 'die or surrender' as its Kyiv counterattack pushes back invaders https://t.co/apbBdQMlsM,40,14
331,2022-03-24,"@RF_OSCE @mfa_russia @PLinOSCE @OSCE_Serbia @AmbasadaRusije @NATO @natomission_ru @RusEmbUSA @RussianEmbassy They keep hiding replies containing this.

Spam it. https://t.co/iZvXjnV0iB",302,52
332,2022-03-25,Four weeks of war scar Russia's economy https://t.co/9ATxHVADEN https://t.co/ybqS52hUXz,60,18
333,2022-03-25,President Biden and NATO allies met in Brussels to reaffirm the alliance's solidarity in the face of the ongoing and brutal Russian invasion of Ukraine as the Ukrainian military says it struck a Russian ship docked in Berdyansk. @janeferguson5 reports. https://t.co/ygvLxwtyVz,38,3
334,2022-03-24,"@andersostlund If you are able to organise/join protests in your towns to target companies which continue working with/in Russia&amp;Belarus, pls pm us. We also have a template of the letter you can send to their leadership. #BoucottRussia to help stop the atrocious war in Ukraine.",32,13
335,2022-03-24,"The United States will welcome up to 100,000 Ukrainians and other displaced people fleeing Russia's invasion of Ukraine. https://t.co/gr3JYijuTe",139,36
336,2022-03-24,@AndriiLuchkov @sylvain_pharand A statement by the ladies of Ukraine for the soldiers of Russia: https://t.co/G818AnMtD1,6,4
337,2022-03-24,"Yes no prob you may play the entirety of Plot Against the President ⁦@PATPmovie⁩ at trial I will allow it. 

Sort of a “Federal Screening”

Trump SUES Hillary Clinton &amp; others for allegedly conspiring to 'cripple' his bid for presidency | Daily Mail https://t.co/nH1dImbmYt",161,47
338,2022-03-24,"Whilst world is busy w/ Ukraine’s existential battle vs Russia, Taliban ended higher education for girls. The very thing they agreed to when President @JoeBiden pulled back all US troops.
Hoping PM @JustinTrudeau Min @melaniejoly expedite slots for Afghan female refugees
#cdnpoli",11,7
339,2022-03-24,"@PierrePoilievre We need a poilievre govt like Russia needs more #Putin govt.

PS: Under 10 years of @CPC_HQ and @stephenharper, not one inch of pipeline was built to new markets.  But hey , JT.",21,3
340,2022-03-24,"Russia’s last 15 years of economic gains will evaporate this year.

Russia, which had the world’s 11th largest economy before the invasion, will fall out of the top 20. https://t.co/10aOnRPRIz",29,5
341,2022-03-24,"""The same source described 'pressure on community leaders, including threats to shut down Jewish institutions, if no statements are made in favor of the invasion.'"" https://t.co/Gqnnb9YASR",11,11
342,2022-03-24,"“When asked how American foreign policy could change if the Republican former president was elected again in 2024, Biden touted his engagement with allies and said he would be “fortunate” if a possible re-election bid was a rematch with his predecessor” https://t.co/PiENXzT36L",39,7
343,2022-03-25,"@BBCRosAtkins So far, Russia is acting like a Nazi country. It is the deeds (and not the empty words of Russian propaganda) that determine the meaning of these words. https://t.co/FrYwGgyTr1",0,0
344,2022-03-24,"#Fresh #wtpBLUE #ONEV1

TODAY IN HISTORY

2001—Russian Mir space station crashes into Pacific.

2022—Astronaut Vande Hei dependent on Russia for trip home.

Today Russian Space Chief says cooperation with Europe is impossible!

Does U.S. have back up plan?
https://t.co/o4zndtLUor",36,36
345,2022-03-25,"We all have to learn from Trump, he is a FIGHTER! This may reveal what they try so hard to hide from We, the People! This is going to be fun and I am expecting to have a grin across my face for days @ https://t.co/40D3qdYQv1",0,0
346,2022-03-24,Rand Paul trolls the Senate as usual in his never-ending quest to be a speedbump towards progress (and other politicians like Manchin and Sinema turn green with envy)  https://t.co/aModJuvTUN via @politico,16,7
347,2022-03-25,"Today, Prime Minister Justin Trudeau and @NATO Heads of State and Government met to address Russia’s aggression against Ukraine, the gravest threat to Euro-Atlantic security in decades. Read their statement: https://t.co/ICswEvhJh6",53,17
348,2022-03-24,"“This is a really big deal, because when that volume of calories comes out of the food chain, it triggers other things. Not only hunger, but unrest.”

And more 'bad luck'. Don't forget the jinx.

https://t.co/r73HVmw97E",19,11
349,2022-03-24,"russia is in fact evil for causing massive food insecurity, a refugee crisis, and civilian deaths in order to gain territory! hope this helps.",44,7
350,2022-03-25,"Why the Russian president believed his own propaganda about Western decadence, @ThePlumLineGS writes https://t.co/3POpIYXIAH",4,2
351,2022-03-24,"Russia fails to 'undermine' UN's unified efforts in Ukraine, ambassador says
https://t.co/O0m3PpydnE",122,30
352,2022-03-24,"""Increased pressure at home"" to what? To ""be tougher""? That's just stupid. 

https://t.co/nenKQ2HCDY",115,31
353,2022-03-24,@RepMTG Big Bird said UKRAINE will NOT SURRENDER!! Bc Yrash like you wants Russia to win!! But here you go👇👇👇👇 https://t.co/W8h6qov3ud,7,0
354,2022-03-24,"@bbcquestiontime @BBCOne We distance ourself from Russian Energy.
Yet the chancellors wife continues to benefit from the company infosys in which she is a major shareholder. Still working in Russia. While we struggle &amp; suffer he can eat and also get heat.
#Hypocrisy",15,3
355,2022-03-25,So what countries are funding Putin in Ukraine?  India…France…Germany.  The German Chancellor today called it a “very conscious decision” to exclude Russia’s NUMBER 1 moneymaker from sanctions.  See who is funding Putin right now https://t.co/gg2P42qzVm   @GabeCohenNews,18,9
356,2022-03-24,"While all eyes are focused on Russia &amp; Ukraine, the int’l community must also remember Tigray, where 500,000 of the population have been killed in #500DaysOfTigrayGenocide. Please spread awareness. #SupportHR6600 @shaunking @MerrittForTexas @angela_rye https://t.co/rsqKTr1Mru",8,11
357,2022-03-24,The war of aggression of #Russia against #Ukraine. Not conflict. Not situation. International crime of aggression,2,1
358,2022-03-24,"@Boycott_RU Good! It is shameful how so many French companies see opportunity in Russia and expand their business now when others are leaving. 
Shame on you @AUCHAN_France!
Shame on you @DecathlonSports!
Shame on you @leroymerlinfr!
You are financing #Russia's #war on #Ukraine. 
Blood money!",6,4
359,2022-03-24,You know you’re into 3rd millenary when #russia accepted #bitcoin for gas paiement.,3,3
360,2022-03-24,"@BigBluexlt The speaker is a F****ng idiot. For those of us who are military professionals, warfare is neither a game, a hobby, nor a joke. This “volunteer”is about to discover a harsh reality: Mercenaries are despised &amp; disposable there. The victors (Russia) will show little understanding.",7,1
361,2022-03-25,@boser_j @1MikeMorris I saw the speech posted here on Twitter. He spoke firmly; exuded strength. Our PM took that IDU propaganda disguised as constructive criticism from the Croatian &amp; German in stride like a pro. PMJT has gained skills since 2015 &amp; I'm happy he's leading Canada during Russia's war.,44,9
362,2022-03-24,".@johnsweeneyroar reports from outside Kyiv, where Ukrainian forces have begun to retake territory and encircle the Russians | @newlinesmag https://t.co/iVxr10MSPQ",96,29
363,2022-03-24,"There is no good response to a nuclear attack. Two years ago, DOD took the unusual step of briefing reporters on a war game involving a limited Russian nuclear attack and our limited response. Notably, @PentagonPresSec didn't say how it ended. https://t.co/zYcXle83pO",17,7
364,2022-03-24,"The paper that your factories produce is not white anymore. It is red with the blood of the innocent victims. Victims of the war which Russia has started. Don’t you see? @mondigroup 
#standwithukraine #stopwarinukraine #stoprussianaggression #stopputinnow #boycottrussia https://t.co/EZFZBRcizN",3,3
365,2022-03-24,"Indictments unsealed today by @TheJusticeDept charging four Russians, who worked for the government of #Russia, with attempting, supporting and conducting computer intrusions. https://t.co/xwBFjeMMp6",27,19
366,2022-03-25,@POTUS So your saying that we are going to face a massive food shortage because of russia ukraine invasion sanctions this is an attack on the american people and the economy and people will starve you are an embarrassment to our country #Biden #inflation https://t.co/LEcsAP72G3,0,0
367,2022-03-21,"Russia is a terrorist state which violates international law!
This state has no right to be part of the organisation promoting peace, democracy and sustainable development.
REMOVE RUSSIA FROM THE @IPUparliament!

#IPU144 https://t.co/GPZzXwXKjv",1318,718
368,2022-03-24,"Biden, today: “I did not say that in fact the sanctions would deter him. Sanctions never deter.”

Jake Sullivan, Feb. 12: “The president believes that sanctions are intended to deter.”

@shearm @MatinaStevis 

https://t.co/6ecXAuA4lF",85,22
369,2022-03-24,"Major oil and gas consumers have pledged “radical” cutbacks in imports from Russia, the IEA said at the conclusion of its annual ministerial meeting https://t.co/PecNzXr5up",8,2
370,2022-03-24,"Ukraine invasion: How Putin is reviving Soviet-era antisemitic conspiracies against Russia's ""traitors"" @Michal_Bilewicz Opinion
https://t.co/VtkM4cSXlZ",12,7
371,2022-03-24,It’s really something how the biggest censors on Earth find safe haven on right-wing media sites professing to uphold free speech  https://t.co/BWlGZeyAZ8,55,10
372,2022-03-25,"on march 18 for the international day to free all political prisoners, anarchists in bern (switzerland) dropped many banners to spread info on political prisoners in sudan, russia, usa, vietnam, germany, belarus, turkey, france, israel, greece, wales, iran
https://t.co/UH2Obao6IF",5,0
373,2022-03-24,Ukrainian Army drone shot while trying to enter Russia's territory #Ukraine #Russia #Kharkiv #Mariupol #Donbass #Kyiv #Kiev https://t.co/6bIWhvE9QP,6,8
374,2022-03-25,"There have been questions recently about the CPUSA’s position on  the war in Ukraine. Following are official statements of our leadership.
https://t.co/nj8zOSunYZ",26,14
375,2022-03-24,"Ukrainians Don’t See Russia’s War Crimes as Invitation to Negotiate: @ngumenyuk

""We should keep our lines of communication..open - even if there is little cause for hope..Talks have their place - but not when your opponent is simply trying to destroy you""
https://t.co/mnD87HgvpH https://t.co/movd0czrtF",6,3
376,2022-03-24,Hey @TuckerCarlson here’s a Ukrainian child injured by the Russian bombardment of civilian areas while you root for Russia and spread their propaganda #TuckyoRose https://t.co/LEtWHSzEFX,0,0
377,2022-03-24,"This would be a good time for @TheJusticeDept to release the whole, unredacted Mueller Report.

https://t.co/I1KWVURQ2z",4,2
378,2022-03-25,"@jdeq @DonMartinCTV Yep! It never ceases to amaze how Canada's legacy media treat *anyone* who criticizes the PM as the most honest broker who ever lived, and never checks into whether it is a griftofascist cosplay.

(P.S. It is almost always a griftofascist cosplay.) https://t.co/mngmu4kGXs",28,5
379,2022-03-24,Projection much? https://t.co/kF7RKjBuKe,60,10
380,2022-03-24,@RpsAgainstTrump @LaneZane1 What was in the Trump letter Paul brought to Putin? Why did he bring it? https://t.co/bCy8DJ8s1n,12,9
381,2022-03-24,"Ukrainian officials accused the retreating Russian forces of resorting to banned white phosphorus munitions and in intercepted calls, released by the Ukrainians, Russian troops reported “heavy losses” to their superiors https://t.co/ZWv57RjSBp",63,26
382,2022-03-25,"Mo' so cazzi vostri...#Salvini #Lega

Emails and documents show just how closely Italian, French, German and Austrian far-right politicians coordinate with Moscow. An investigation by @holger_r, Martin Laine, and @michaeldweiss for @newlinesmag: https://t.co/VRRP7ia5fe",0,0
383,2022-03-25,"https://t.co/jwYPzdorPr remember the""biolab""in Ukraine that under secty victoria nulund had concern but the next day the biden adm said was disinformation&amp;anyone who asked questions about those labs was labeled a Russian agent..guess who's connected to those non existence labs",22,11
384,2022-03-24,"Very important #NATO Summit, with the participation of @POTUS Joe Biden. We will discuss:
🔹offering a coordinated and unitary response to Russia’s aggression against Ukraine
🔹stepping up humanitarian assistance to 🇺🇦
🔹consolidating transatlantic security. https://t.co/hk5Z0HU0RX",0,0
385,2022-03-24,"Donald Trump sues Hillary Clinton, others over 2016 Russian collusion allegations https://t.co/2FR4LieALQ via @Yahoo FACT-1-This sick example of a human KK QA gop Trump has sue everybody 3,505 that he bankrupt they never get a penny back-2- Russia Trump doesn't even pay his bills https://t.co/1LRAMMyi1p",1,1
386,2022-03-25,"The deep Indian strategic empathy toward #Russia is rooted in India’s post-colonial heritage, a strong and understandable anti-Western sentiment that is largely the consequence of British colonial rule, explains @raji143. https://t.co/8scE4kwD77",6,3
387,2022-03-24,"Oil heading toward $200 per barrel w/ no effective action by BidenAdmin; benefits Russia. 
So, boycott the Democrat WH, too?😏

RT @Milbank: Koch Industries, Halliburton, Subway, Cinnabon and others are funding Putin's war in Ukraine. Let's boycott them.… https://t.co/SXvoVoPTgL",1,0
388,2022-03-24,"@McFaul Interesting descriptor ""Government Employees"".

3 of the 4 are ""nationals of the Russian Federation (Russia) and officers in Military Unit 71330 or “Center 16” of the FSB"".

This was a Russian military attack on the US nuclear infrastructure.",11,4
389,2022-03-24,"Furthermore, a pharmaceutical company contracted by the Pentagon worked with the #Ukrainian Defense Ministry to test unregistered medical drugs on Ukrainian service members, according to Konashenkov.  
@XinhuaBrisMUN
#UkraineRussiaWar https://t.co/wMkqjofc2y",1,1
390,2022-03-25,"#Putin can be killed by his own family. Speaking to https://t.co/KdW2qzizRs this week, Russia Expert at Chatham House Nikolai Petrov made a surprising claim that a member of Putin's own family would be among the most likely candidates to try and assassinate the Russian President.",0,0
391,2022-03-23,"⚡Breaking: Anatoly Chubais, who gave Putin his first Kremlin job, stepped down as Russia's climate envoy and has left the country over Putin's war in Ukraine
https://t.co/MMEDrTal6V",16000,4318
392,2022-03-24,"C H I A S M U S: Stock market volatility declines, The Fed needs to... https://t.co/Sf4jFAHtBr 
""While the Federal Reserve and most global Central banks attempt to smooth out volatility in equity (stock) markets, of course widespread risk aversion is now...""
#markets #russia",0,0
393,2022-03-24,"@KyivPride is supporting LGBTQ+ Ukrainians fleeing, and helping to equip those who are fighting back against Russia's unprovoked assault on their lives.

You can support them here: https://t.co/8mWDkrK8L5

Because this is a fight for freedom.",12,5
394,2022-03-24,"@barnes_law The fact that India, Russia and China have teamed up for a new gold standard while we are on fiat dollar should be a very big red flag to get your money into something else a bit at a time.",73,26
395,2022-03-25,"One of the saddest aspects of Putin's war against Ukraine is that a peaceful, prosperous, democratic Russia could be such a positive force for good in both Europe and the world.  #GodBlessRussia #GodBlessUkraine #StandWithUkraine",12,2
396,2022-03-24,"Despite a near media blackout on the growing Hunter Biden scandal, most voters appear aware of it and believe that President @JoeBiden ""perhaps profited"" off his son’s schemes linked to Ukraine, Russia and China.

 https://t.co/KRx1by9CNy",38,19
397,2022-03-24,"“As a neutral, impartial humanitarian actor, ICRC is mandated to speak with all sides of a conflict to advocate respect for international humanitarian law, to protect civilian life and to ensure aid is able to reach those most in need.” https://t.co/0B2vCRfX62",20,9
398,2022-03-24,"This is the dumbest shit.  Mexico is next door, how bout not shitting on them?  They’re why we still have groceries in Texas. 

https://t.co/oWc9dcw4F5",10,1
399,2022-03-25,@AdamKinzinger Cmon now. I was having a reasonably nice night over here.,14,0
400,2022-03-25,"Question debated in final #ShmooCon talk tonight: Should we cut Russia off from the Internet we use? ""Cut them off all of the good Steam games,"" @hacks4pancakes says. But, they add: ""Do not cut them off the global Internet, they need to know what's really happening.""",0,0
402,2022-03-25,"Ya but the key is this… he won’t destroy the world (won’t launch his nukes) and it will be an unfair fight, for Russia.  That’s the benefit of the great military we have.  We don’t want this, but at least we know who will win.",164,16
403,2022-03-25,"BREAKING: Russia will accept bitcoin for oil and gas— lawmaker says (RBC) @Bitcoin #Bitcoin 
@laurashin @riskybusiness @Afrocoin_AFN @black_in_ai @BDPA @BlackWomenInAI",0,0
404,2022-03-24,"The U.S. made it clear that any transaction involving gold related to the Central Bank of the Russian Federation is covered by existing sanctions, but that’s unlikely to have an immediate impact on the gold market.
https://t.co/lxpJzVqk94",9,2
